src,dst,total_value,min_gas_price,transaction_count
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x3845badade8e6dff049820680d1f14bd3903a5d0,0,10947318305,58
0xd54e4f8a55247487dd7c8c59f14ee5c0c2889477,0x1111111254fb6c44bac0bed2854e76f90643097d,0,10729517691,608
0xbb3fd383d1c5540e52ef0a7bcb9433375793aeaf,0x28c6c06298d514db089934071355e5743bf21d60,745516012951375057565,11626274071,110
0x9696f59e4d72e237be84ffd425dcad154bf96976,0x4c9af439b1a6761b8e549d8d226a468a6b2803a8,46344694000000000000,12134064739,76
0xd1e3e0faf8c6c9184030d73a9a64805633804fc5,0xc5a8859c44ac8aa2169afacf45b87c08593bec10,339925876093207780210,11332031501,140
0x8ae57a027c63fca8070d1bf38622321de8004c67,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0,10956614430,102
0xd103855b83ff26e0e6a67a0203e45455f37ca713,0xa612d7680a249581bedee885ddced743e8bcaa9e,7849999999999999998,11477183628,86
0x72915ad3110eb31768a562f540ac1ebcd51d3dc8,0x594c4d96017c5b23d2af9b5e0bacbcc7883c91a5,0,12083128788,119
0xe12908eefc1bf69dba65d5994a5306fc1050eef9,0x8967ba97f39334c9e6f8e34b8a3d7556306af568,2366337689021119494,9963316693,144
0x787b8840100d9baadd7463f4a73b5ba73b00c6ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,10249560063,212
0x6081258689a75d253d87ce902a8de3887239fe80,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,10724358524,346
0x3c02290922a3618a4646e3bbca65853ea45fe7c6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,11297127093,82
0x61b7b515c1ec603cf21463bcac992b60fd610ca9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,11428745978,72
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0,10369764543,179
0xf957318181e21a6ed98af5d5a367e1b6cc30d4d1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,6431805962306576512,12911052314,116
0x1529282ea2d39c1a7a78608c0d0cab72a265196d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,5179912983863999046,13356029035,143
0x5cfd72bcbc603143b65a9e04edfc54570a7b7547,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2017211079414329360,13400235086,128
0x01eb742f7665c1a49efd98bd436f2d21e9bd278c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,3265731091929988312,13538966419,98
0xcf12ee86f85a1c0d499dae7aea00f2b303f2651f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2963184774787410800,12182480702,179
0x6061c974a6a1f242c3b654d6a294af298457649c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,11561592658641575550,13215317256,103
0x5c95e53a71d48da4bf1490eb94add905d425998e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,21064968160374466213,16743484663,213
0x91bfce0fab4fbb626b5b25397f75d2054986c269,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,7875000000000000000,12547623446,93
